gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
HSD17B10,5.350327,0.068896,2.27227,3.719697,3.71901,0.136719,NHP highest
PSMD9,5.350327,0.068896,4.732586,5.321914,5.544094,0.136719,Mouse highest
CHMP2A,5.350327,0.068896,3.237693,5.179068,5.114785,0.136719,NHP highest
SFMBT1,5.350327,0.068896,5.80475,6.058331,6.14253,0.136719,Mouse highest
MTFP1,5.350327,0.068896,1.105878,6.152032,5.155164,0.136719,NHP highest
NUDC,5.350327,0.068896,5.001268,6.039538,6.255341,0.136719,Mouse highest
APOC4,5.353257,0.068795,0.0,0.05272,0.214876,0.136719,Mouse highest
SNX21,5.350327,0.068896,3.091879,5.311494,5.251932,0.136719,NHP highest
COIL,5.350327,0.068896,4.021586,4.505507,4.617408,0.136719,Mouse highest
GAR1,5.350327,0.068896,3.614012,4.952242,4.992603,0.136719,Mouse highest
COPZ1,5.350327,0.068896,4.508929,5.773831,5.681445,0.136719,NHP highest
STX5,5.350327,0.068896,4.998019,5.797402,5.88193,0.136719,Mouse highest
FKBP2,5.350327,0.068896,4.173128,6.312687,6.192049,0.136719,NHP highest
SNAPC5,5.350327,0.068896,4.07533,5.351645,5.591564,0.136719,Mouse highest
STMN4,5.350327,0.068896,5.463204,7.375833,7.409392,0.136719,Mouse highest
SLC25A37,5.350327,0.068896,6.639804,5.057952,5.207232,0.136719,Human highest
ASCL1,5.347059,0.069008,1.54755,2.302008,1.68861,0.136775,NHP highest
ACVR2A,5.347059,0.069008,6.53277,7.047645,6.612045,0.136775,NHP highest
FEN1,5.347059,0.069008,2.082792,2.876313,2.249106,0.136775,NHP highest
AIRE,5.349214,0.068934,0.439073,0.046366,1.133621,0.136775,Mouse highest
PDE3A,5.347059,0.069008,3.567647,1.81303,3.48624,0.136775,Human highest
NAP1L2,5.347059,0.069008,4.773491,5.625057,4.656124,0.136775,NHP highest
DSG2,5.347059,0.069008,1.685348,0.693915,1.669277,0.136775,Human highest
GRIK3,5.347059,0.069008,3.929218,2.100756,3.546337,0.136775,Human highest
KCTD2,5.347059,0.069008,4.802557,5.561887,4.930086,0.136775,NHP highest
SALL1,5.343921,0.069117,0.110703,0.319406,0.098738,0.136971,NHP highest
SOD3,5.336683,0.069367,0.047512,0.28386,0.065641,0.137449,NHP highest
MED21,5.320915,0.069916,4.855708,5.415554,5.564091,0.138123,Mouse highest
KTN1,5.320915,0.069916,6.98786,7.206593,7.48965,0.138123,Mouse highest
SLC4A4,5.320915,0.069916,7.099354,6.377895,6.109803,0.138123,Human highest
MRPS18B,5.322876,0.069848,3.560824,4.161716,4.074622,0.138123,NHP highest
PHF5A,5.322876,0.069848,2.984401,5.506473,4.818109,0.138123,NHP highest
PRDX3,5.320915,0.069916,4.462893,4.9411,5.273024,0.138123,Mouse highest
SMG6,5.322876,0.069848,6.922686,7.369012,7.324571,0.138123,NHP highest
RAB4A,5.320915,0.069916,5.224264,4.975839,4.856667,0.138123,Human highest
ANGEL1,5.322876,0.069848,4.71901,2.500477,3.140067,0.138123,Human highest
ENSA,5.322876,0.069848,6.281698,8.45177,7.883273,0.138123,NHP highest
SLC8A1,5.322876,0.069848,10.07997,9.028875,9.254938,0.138123,Human highest
NSG1,5.322876,0.069848,4.326344,8.200622,7.037342,0.138123,NHP highest
SCG3,5.320915,0.069916,5.932503,6.194102,6.346117,0.138123,Mouse highest
GJC1,5.322876,0.069848,2.404732,3.14542,3.083095,0.138123,NHP highest
RASL11B,5.322876,0.069848,2.627198,5.063727,4.338323,0.138123,NHP highest
KCNB1,5.320915,0.069916,8.256636,8.639043,7.992225,0.138123,NHP highest
TIMM17A,5.322876,0.069848,4.831882,6.206275,5.8648,0.138123,NHP highest
COX11,5.320915,0.069916,5.488127,5.12984,6.004579,0.138123,Mouse highest
HAS1,5.320915,0.069916,2.233984,1.488307,1.075668,0.138123,Human highest
B3GALT6,5.322876,0.069848,2.621376,3.629639,3.382907,0.138123,NHP highest
CISD2,5.322876,0.069848,4.66459,6.618961,6.118502,0.138123,NHP highest
ARHGAP39,5.320915,0.069916,6.732162,6.999978,7.31776,0.138123,Mouse highest
THBS3,5.319608,0.069962,4.268427,4.127073,4.692236,0.138194,Mouse highest
BTN1A1,5.315088,0.07012,0.431268,0.044714,0.178915,0.138488,Human highest
ST14,5.309688,0.07031,1.285288,0.029689,0.805089,0.138674,Human highest
CYP4F22,5.309688,0.07031,1.072477,0.058484,0.753332,0.138674,Human highest
